Código;Classificação;Descrição da conta;Saldo Anterior;Débito;Crédito;Saldo Atual
74481;1.1.20.100.1;SIEMENS HEALTHCARE DIAGNOSTICOS LTDA;9.914,60D;2.145,48;4.629,04;7.431,04D
74376;1.1.20.100.1;SYSMEX DO BRASIL INDUSTRIA E COMERCIO LTDA;1.153,24D;1.371,63;1.229,44;1.295,43D
74377;1.1.20.100.1;TOXILAB LABORATORIO DE ANALISE LTDA;500,12D;0,00;0,00;500,12D
74482;1.1.20.100.1;UNIAO BRASILEIRA DE EDUCACAO E ASSISTENCIA;8.132,39D;10.391,04;5.155,59;13.367,84D
74378;1.1.20.100.1;UNIMED ALTO DA SERRA - SOCIEDADE COOPERATIVA DE S;1.375,99D;0,00;0,00;1.375,99D
74483;1.1.20.100.1;UNIMED DE BRUSQUE COOPERATIVA DE TRABALHO MEDIC;8.594,27D;0,00;0,00;8.594,27D
74484;1.1.20.100.1;UNIMED DE JATAI COOPERATIVA DE TRABALHO MEDICO;1.655,03D;820,54;0,00;2.475,57D
75443;1.1.20.100.1;UNIMED DO NORTE FLUMINENSE COOP TRABALHO;0,00;7.625,31;7.625,31;0,00
74485;1.1.20.100.1;UNIMED ERECHIM-COOPERATIVA DE SERVICOS DE SAUDE;2.945,10D;1.802,41;1.802,42;2.945,09D
74486;1.1.20.100.1;UNIMED FRONTEIRA NOROESTE/RS - COOPERATIVA DE ASS;4.526,57D;860,17;860,17;4.526,57D
74379;1.1.20.100.1;UNIMED GOIANIA COOPERATIVA DE TRABALHO MEDICO;3,78D;0,00;0,00;3,78D
74488;1.1.20.100.1;UNIMED NOROESTE/RS - SOCIEDADE COOPERATIVA DE ASS;5.667,94D;5.032,84;5.032,84;5.667,94D
74489;1.1.20.100.1;UNIMED PELOTAS/RS COOPERATIVA DE ASSISTENCIA A SA;4.095,06D;1.753,56;1.753,55;4.095,07D
74490;1.1.20.100.1;UNIMED PLANALTO/RS MEDIO COOPERATIVA DE SERV MEDIC;1.015,68D;0,00;0,00;1.015,68D
74380;1.1.20.100.1;UNIMED PORTO ALEGRE - COOPERATIVA MEDICA LTDA;32.221,25D;0,00;0,00;32.221,25D
74491;1.1.20.100.1;UNIMED REGIAO DA PRODUCAO/RS - COOPERATIVA DE A;1.919,94D;610,22;610,22;1.919,94D
74492;1.1.20.100.1;UNIMED REGIONAL SUL GOIAS COOPERATIVA DE TRABALH;4.153,15D;1.404,15;0,00;5.557,30D
74493;1.1.20.100.1;UNIMED RIO BRANCO COOPERATIVA DE TRABALHO MEDIO;3.315,03D;0,00;0,00;3.315,03D
74494;1.1.20.100.1;UNIMED RONDONOPOLIS COOPERATIVA DE TRAB MEDICO;4.156,16D;3.028,73;0,00;7.184,89D
74487;1.1.20.100.1;UNIMED SERRA GAUCHA/RS COOPERATIVA DE ASSISTENCIA;32.161,87D;8.891,20;0,00;41.053,07D
75143;1.1.20.100.1;UNIMED VALE DO ACO COOPERATIVA DE TRABALHO;0,00;5.357,62;5.357,62;0,00
74495;1.1.20.100.1;VITALAB - COMERCIO DE PRODUTOS PARA LABORATORIOS;28.524,25D;12.014,99;1.200,00;39.339,24D
74384;1.1.20.100.1;WEBMED SOLUCOES EM SAUDE EIRELI;1.403,00D;0,00;0,00;1.403,00D
74496;1.1.20.100.1;WERFEN MEDICAL LTDA;580,00D;0,00;0,00;580,00D
18;1.1.3;OUTROS CRÉDITOS - CP;1.331.889,23D;43.104,96;12.042,86;1.362.951,33D
19;1.1.30.1;OPERACOES MUTUAS;259.250,00D;0,00;0,00;259.250,00D
74360;1.1.30.100.1;OPERACOES ENTRE EMPRESAS DO MESMO GRUPO;259.250,00D;0,00;0,00;259.250,00D
24;1.1.30.6;ADIANTAMENTOS A EMPREGADOS;1.003.083,48D;22.918,00;0,00;1.026.001,48D
55039;1.1.30.600.1;ADIANTAMENTO DE FERIAS;6.233,23D;0,00;0,00;6.233,23D
26;1.1.30.602.1;ADIANTAMENTOS DE 13º SALÁRIO;0,00;22.918,00;0,00;22.918,00D
74361;1.1.30.602.1;OPERAÇÕES PARTES RELACIONADAS;996.850,25D;0,00;0,00;996.850,25D
28;1.1.30.8;TRIBUTOS A RECUPERAR / COMPENSAR;69.555,75D;20.186,96;12.042,86;77.699,85D
31;1.1.30.800.3;IRRF A RECUPERAR;41.413,65D;5.019,87;0,00;46.433,52D
34;1.1.30.800.6;TRIBUTOS PAGOS A MAIOR OU INDEVIDAMENTE;1.120,52D;0,00;27,22;1.093,30D
35;1.1.30.800.7;CONTRIBUIÇÃO SOCIAL RETIDO A COMPENSAR;26.113,24D;3.199,96;0,00;29.313,20D
36;1.1.30.800.8;COFINS RETIDO A COMPENSAR;256,20D;9.599,76;9.599,76;256,20D
37;1.1.30.800.9;PIS RETIDO A COMPENSAR;55,51D;2.079,95;2.079,95;55,51D
75332;1.1.30.801.0;FGTS A COMPENSAR;13,32D;0,00;0,00;13,32D
40;1.1.30.801.2;COFINS A RECUPERAR;47,11D;0,00;47,11;0,00
41;1.1.30.801.3;PIS A RECUPERAR;15,60D;0,00;15,60;0,00
476;1.1.30.801.6;ISSQN A RECUPERAR;437,43D;273,22;273,22;437,43D
55030;1.1.30.801.7;IR FONTE - REND APLIC FINANCEIRAS;83,17D;14,20;0,00;97,37D
65;1.1.6;CUSTOS / DESPESAS ANTECIPADAS;19.943,92D;0,00;0,00;19.943,92D
66;1.1.60.1;CUSTOS / DESPESAS ANTECIPADAS;19.943,92D;0,00;0,00;19.943,92D
74364;1.1.60.100.1;SEGUROS A APROPRIAR PROPOSTA 4317951;19.943,92D;0,00;0,00;19.943,92D
501;1.2;ATIVO NÃO-CIRCULANTE;2.731.939,16D;0,00;304,48;2.731.634,68D
88;1.2.3;INVESTIMENTOS;9.193,90D;0,00;0,00;9.193,90D
101;1.2.30.6;OUTROS INVESTIMENTOS;9.193,90D;0,00;0,00;9.193,90D
74552;1.2.30.600.7;CONSORCIO BRADESCO 700569377 GRUPO:943 COTA 223 PLANO 192;4.233,60D;0,00;0,00;4.233,60D
74551;1.2.30.600.7;CONSORCIO BRADESCO 701018642 GRUPO: 10178 COTA: 039 NÃO CONTEMPLADO;2.480,15D;0,00;0,00;2.480,15D
74550;1.2.30.600.7;CONSORCIO BRADESCO 701018645 GRUPO: 10178 COTA: 040 NÃO CONTEMPLADO;2.480,15D;0,00;0,00;2.480,15D
111;1.2.4;IMOBILIZADO;42.136,01D;0,00;304,48;41.831,53D
116;1.2.40.2;MÓVEIS E UTENSÍLIOS;14.283,53D;0,00;0,00;14.283,53D
74557;1.2.40.200.1;DIREITO USO LINHA APARELHO TELEFONICO;1.203,39D;0,00;0,00;1.203,39D
117;1.2.40.200.1;MOVEIS E UTENSILIOS - MATRIZ;13.080,14D;0,00;0,00;13.080,14D
118;1.2.40.3;MÁQUINAS, EQUIPAMENTOS E FERRAMENTAS;40.274,10D;0,00;0,00;40.274,10D
74558;1.2.40.300.1;COMPUTADORES E PERIFERICOS;13.418,18D;0,00;0,00;13.418,18D
55075;1.2.40.300.1;INSTALACOES;1.476,53D;0,00;0,00;1.476,53D
119;1.2.40.300.1;MAQUINAS E EQUIPAMENTOS - MATRIZ;25.379,39D;0,00;0,00;25.379,39D
124;1.2.40.6;IMOBILIZADO EM ANDAMENTO;11.896,14D;0,00;0,00;11.896,14D
74554;1.2.40.600.1;ADIANTAMENTO DE CONSORCIO (CONTRATO 70150611 GRUPO: 10423 COTA: 534 PLANO;2.037,45D;0,00;0,00;2.037,45D
74553;1.2.40.600.1;ADIANTAMENTO DE CONSORCIO (CONTRATO 701570611 GRUPO: 10423 COTA: 527 PLANO;1.370,10D;0,00;0,00;1.370,10D
74555;1.2.40.600.1;ADIANTAMENTO DE CONSORCIO (CONTRATO 701570979 GRUPO: 10423 PLANO: 89;499,70D;0,00;0,00;499,70D
74556;1.2.40.600.1;AQUISICAO DE BENS ATRAVES DE CONSORCIO BRADESCO CONTRATO (703554653);7.988,89D;0,00;0,00;7.988,89D
125;1.2.40.7;(-) DEPRECIAÇÕES, AMORT. E EXAUS. ACUMUL;24.317,76C;0,00;304,48;24.622,24C
75611;1.2.40.700.1;(-) DEPRECIACOES DE COMPUTADORES E PERIFERICOS;1.063,35C;0,00;223,63;1.286,98C
55214;1.2.40.700.1;(-) DEPRECIACOES DE INSTALACOES;617,27C;0,00;7,81;625,08C
127;1.2.40.700.1;(-) DEPRECIACOES DE MOVEIS E UTENSILIOS;5.289,43C;0,00;0,00;5.289,43C
128;1.2.40.700.3;(-) DEPRECIACOES DE MAQUINAS, EQUIP. FER;17.347,71C;0,00;73,04;17.420,75C
502;1.2.5;INTANGÍVEL;2.680.609,25D;0,00;0,00;2.680.609,25D
123;1.2.50.1;MARCAS, DIREITOS E PATENTES;2.680.609,25D;0,00;0,00;2.680.609,25D
74559;1.2.50.100.2;DESENVOLVIMENTO DE PROJETOS, PRODUTOS E TECNOLOGIA;2.582.422,97D;0,00;0,00;2.582.422,97D
74560;1.2.50.100.2;PROJETO INOVACRED BRDE/FINEP;98.186,28D;0,00;0,00;98.186,28D
149;2;PASSIVO;5.007.461,37C;328.778,30;445.111,46;5.123.794,53C
150;2.1;PASSIVO CIRCULANTE;3.396.853,81C;310.778,30;368.731,46;3.454.806,97C
382;2.1.1;EMPRÉSTIMOS E FINANCIAMENTOS - CP;1.720.288,36C;0,00;0,00;1.720.288,36C
151;2.1.10.1;EMPRÉSTIMOS - CP;1.720.288,36C;0,00;0,00;1.720.288,36C
74508;2.1.10.100.4;(-) JUROS A TRANSCORRER;92.765,24D;0,00;0,00;92.765,24D
74561;2.1.10.100.4;EMPRESTIMO BANCO RNX CONTRATO 222030;2.849,87C;0,00;0,00;2.849,87C
74562;2.1.10.100.4;EMPRESTIMO BANRISUL CONTRATO 21014580;21.126,36C;0,00;0,00;21.126,36C
74563;2.1.10.100.4;EMPRESTIMO BRADESCO CONTRATO 15.923.783;303.129,40C;0,00;0,00;303.129,40C
74564;2.1.10.100.4;EMPRESTIMO BRADESCO BNDES CONTRATO 6081863;87.499,88C;0,00;0,00;87.499,88C
74565;2.1.10.100.4;EMPRESTIMO BRDE/BNDES RS-71546;125.000,01C;0,00;0,00;125.000,01C
74568;2.1.10.100.4;EMPRESTIMO CONTRATO 267664;47.647,84C;0,00;0,00;47.647,84C
74566;2.1.10.100.4;EMPRESTIMO PRJETO BRDE;11.883,92C;0,00;0,00;11.883,92C
74506;2.1.10.100.4;OPERAÇOES DE MUTUO;1.207.916,32C;0,00;0,00;1.207.916,32C
74567;2.1.10.100.4;PREMIO DE SEGUROS A PAGAR;6.000,00C;0,00;0,00;6.000,00C
164;2.1.30;FORNECEDORES;120.363,27C;167.434,75;189.842,18;142.770,70C
165;2.1.30.1;FORNECEDORES DIVERSOS - CP;120.363,27C;167.434,75;189.842,18;142.770,70C
73052;2.1.30.100.10;ADD - AGENCIA DIGITAL LTDA;0,00;0,00;200,00;200,00C
75154;2.1.30.100.10;AFENGE ENGENHARIA E SISTEMAS DE SEGURANCA;4.079,26C;453,20;0,00;3.626,06C
74733;2.1.30.100.10;AOVS SISTEMAS DE INFORMATICA S.A.;0,00;410,00;410,00;0,00
75322;2.1.30.100.10;ARCKIVARE ADMIN E SISTEMAS DE ARQUIVO LTDA;0,00;350,00;350,00;0,00
74688;2.1.30.100.10;ARETECH SISTEMAS LTDA;50.000,00C;30.427,00;30.427,00;50.000,00C
69320;2.1.30.100.10;BLUE PAPEIS DISTRIBUICAO BRASIL LTDA;727,36C;293,58;587,16;1.020,94C
74713;2.1.30.100.10;BONOTTO COSTA - COMERCIO DE ALIMENTOS LTDA;0,00;187,00;187,00;0,00
75141;2.1.30.100.10;CASA LAR SHOP LTDA;1.532,39C;306,55;0,00;1.225,84C
74690;2.1.30.100.10;CATALISE SOLUCOES EMPRESARIAIS LTDA;0,00;4.880,90;4.880,90;0,00
74547;2.1.30.100.10;COMERCIAL PRONTO BRINDES LTDA;1.982,50C;0,00;0,00;1.982,50C
75314;2.1.30.100.10;CONEXO INOVACOES EM SAUDE LTDA;0,00;7.537,51;7.537,51;0,00
74542;2.1.30.100.10;D4S SERVICOS EM TECNOLOGIA LTDA;0,00;40,69;40,69;0,00
74537;2.1.30.100.10;DKC FABRICA DE SOFTWARE LTDA;0,00;15.500,00;15.500,00;0,00
74534;2.1.30.100.10;DOCTORPLUS GESTAO E TREINAMENTO EMPRESARIAL LTDA;735,37C;35.805,73;35.307,84;237,48C
74544;2.1.30.100.10;DPOFFICER BRAZIL PRESTACAO DE SERVICOS DE CONSULTORIA EM GESTAO;450,00C;450,00;450,00;450,00C
74649;2.1.30.100.10;HEALTHCARE ALLIANCE SERVICOS DE CONSULTORIA EMPRESARIAL LTDA;4.381,54C;3.245,68;2.532,29;3.668,15C
75482;2.1.30.100.10;IMPRESUL SERVICO GRAFICO E EDITORA;0,00;170,00;170,00;0,00
74535;2.1.30.100.10;JAD-MS SISTEMAS LTDA;0,00;9.500,00;19.963,40;10.463,40C
74689;2.1.30.100.10;JEANINE OLIVA BARNASQUE;0,00;2.400,25;2.400,25;0,00
74829;2.1.30.100.10;JME SERVICOS DE INFORMATICA;0,00;0,00;514,43;514,43C
75296;2.1.30.100.10;KABUM S.A.;365,85C;61,05;0,00;304,80C
74985;2.1.30.100.10;KALUNGA SA;5.038,40C;1.259,60;0,00;3.778,80C
74531;2.1.30.100.10;LEFORTED SISTEMAS LTDA;38.687,00C;12.437,00;30.437,00;56.687,00C
74725;2.1.30.100.10;LUCAS BATISTA VIDAL;12,00C;58,00;58,00;12,00C
75607;2.1.30.100.10;MAGAZINE SAO PAULO COMERCIO DE ELETRONICOS LTDA;343,18C;274,06;0,00;69,12C
74543;2.1.30.100.10;METTA INTEGRADORA EMPRESA ESCOLA SOCIEDADE SIMPLES LTDA;0,00;123,98;123,98;0,00
75142;2.1.30.100.10;MIRANDA COMPUTACAO E COMERCIO LTDA;566,36C;113,32;0,00;453,04C
74539;2.1.30.100.10;MOVIDESK LTDA;0,00;2.789,69;2.789,69;0,00
74708;2.1.30.100.10;OMIEXPERIENCE LTDA.;1.457,92C;1.457,92;0,00;0,00
55825;2.1.30.100.10;PELVALE COMERCIO DE PAPEIS LTDA;366,47C;1.362,33;1.493,80;497,94C
75608;2.1.30.100.10;PH SERVICOS DE ADMINISTRACAO E TECNOLOGIA HOTELEIRA LTDA;1.938,08C;646,06;0,00;1.292,02C
75025;2.1.30.100.10;RAFAEL ESTEFAN CRISTOIU 03437733095;0,00;7.500,00;7.500,00;0,00
74724;2.1.30.100.10;RAFAEL TRINDADE GIL;0,00;84,81;84,81;0,00
74546;2.1.30.100.10;RASTEK SOLUCOES EM TI LTDA;630,00C;674,23;674,23;630,00C
75323;2.1.30.100.10;RM BARREIRO COMERCIO E ASSISTENCIA TECNICA LTDA;940,99C;679,01;0,00;261,98C
71991;2.1.30.100.10;RM MONTAGNER- ORGANIZACAO CAPITAL CONTABIL LTDA;0,00;5.138,06;5.138,06;0,00
75714;2.1.30.100.10;SERVICO DE APOIO AS MICRO E PEQUENAS EMPRESAS DO RS - SEBRAE;5.751,00C;639,00;0,00;5.112,00C
71933;2.1.30.100.10;SULMED ASSISTENCIA MEDICA LTDA;0,00;5.054,85;5.054,85;0,00
74706;2.1.30.100.10;SWILE DO BRASIL S.A.;0,00;14.780,29;14.780,29;0,00
73372;2.1.30.100.10;TRI HOTEL CAXIAS LTDA;377,60C;94,40;0,00;283,20C
74691;2.1.30.100.10;UNIFIQUE TELECOMUNICACOES SA;0,00;249,00;249,00;0,00
169;2.1.4;OBRIGAÇÕES TRIBUTÁRIAS - CP;1.122.951,13C;17.999,18;24.307,36;1.129.259,31C
170;2.1.40.1;IMPOSTOS E CONTRIBUIÇÕES A RECOLHER - CP;835.702,55C;17.999,18;24.307,36;842.010,73C
173;2.1.40.100.3;ISSQN A RECOLHER;11.160,97C;273,22;6.520,43;17.408,18C
479;2.1.40.101.5;SIMPLES NACIONAL A RECOLHER;815.553,60C;0,00;0,00;815.553,60C
55228;2.1.40.103.1;IRRF A RECOLHER - 8045;51,74C;45,81;30,00;35,93C
55226;2.1.40.104.1;IRRF A RECOLHER - 0561;7.944,09C;5.403,02;5.454,98;7.996,05C
55227;2.1.40.105.1;IRRF A RECOLHER - 3208;778,50C;383,77;383,77;778,50C
55225;2.1.40.106.1;IMPOSTOS FED RETIDOS A RECOLHER - 5952;18,40C;18,40;18,40;18,40C
179;2.1.40.107.1;PIS A RECOLHER - 8109;34,76C;2.114,71;2.119,14;39,19C
180;2.1.40.108.1;COFINS A RECOLHER - 2172;160,49C;9.760,25;9.780,64;180,88C
