Código;Classificação;Descrição da conta;Saldo Anterior;Débito;Crédito;Saldo Atual
269;3;CONTAS DE RESULTADOS - CUSTOS E DESPESAS;342.183,23D;346.452,62;11.943,01;676.692,84D
500;3.1;CUSTOS;200.473,19D;218.998,36;3.791,46;415.680,09D
465;3.1.6;CUSTOS DOS SERVIÇOS PRESTADOS;200.473,19D;218.998,36;3.791,46;415.680,09D
466;3.1.60.1;CUSTOS DOS SERVIÇOS PRESTADOS;142.471,96D;152.618,12;0,00;295.090,08D
467;3.1.60.100.1;CUSTOS COM SERVICOS PRESTADOS;142.471,96D;152.618,12;0,00;295.090,08D
74632;3.1.60.3;DESPESAS C/ PESSOAL - TECNOLOGIA -TI;58.001,23D;66.380,24;3.791,46;120.590,01D
74833;3.1.60.300.1;13 SALARIO - TI;3.880,07D;2.891,00;3,82;6.767,25D
74645;3.1.60.300.1;ALIMENTACAO - TI;667,60C;0,00;99,00;766,60C
74643;3.1.60.300.1;ASSISTENCIA MEDICA E SOCIAL - TI;258,44C;0,00;202,62;461,06C
74639;3.1.60.300.1;ESTAGIARIO - TI;1.200,00D;1.200,00;0,00;2.400,00D
74647;3.1.60.300.1;FERIAS - TI;166,24D;3.690,30;0,00;3.856,54D
74674;3.1.60.300.1;FGTS - TI;3.505,49D;5.102,13;651,80;7.955,82D
74637;3.1.60.300.1;HORAS EXTRAS - TI;674,69D;892,60;2.386,74;819,45C
74673;3.1.60.300.1;INSS - TI;12.882,24D;13.800,53;0,00;26.682,77D
74635;3.1.60.300.1;QUINQUENIO - TI;678,93D;792,71;0,00;1.471,64D
74633;3.1.60.300.1;SALARIOS E ORDENADOS - TI;36.647,61D;38.010,97;3,48;74.655,10D
74641;3.1.60.300.1;VALE TRANSPORTE - TI;708,00C;0,00;444,00;1.152,00C
295;3.2;DESPESAS OPERACIONAIS;141.710,04D;127.454,26;8.151,55;261.012,75D
329;3.2.2;DESPESAS ADMINISTRATIVAS;141.710,04D;127.454,26;8.151,55;261.012,75D
330;3.2.20.1;DESPESAS C/ PESSOAL - ADMINISTRACAO;73.931,86D;75.397,09;8.151,55;141.177,40D
331;3.2.20.100.1;SALARIOS E ORDENADOS - ADM;13.891,50D;13.938,06;1,34;27.828,22D
332;3.2.20.101.1;PRO-LABORE - ADM;18.159,64D;18.160,22;0,58;36.319,28D
334;3.2.20.102.1;13º SALARIO - ADM;1.830,98D;590,66;0,00;2.421,64D
74677;3.2.20.103.1;COMISSOES - ADM;293,07D;349,43;0,00;642,50D
335;3.2.20.103.1;FERIAS - ADM;8.574,59D;416,91;0,00;8.991,50D
